file,model,normal,pre-plus,plus
001b3dae-9398-45c3-b271-aae45e7b07df.1.png,0,1.0,4.7432374e-09,2.9014827e-11
001b3dae-9398-45c3-b271-aae45e7b07df.1.png,1,1.0,2.4881208e-11,1.1594885e-09
001b3dae-9398-45c3-b271-aae45e7b07df.1.png,2,1.0,6.9715754e-11,1.0013362e-11
001b3dae-9398-45c3-b271-aae45e7b07df.1.png,3,1.0,3.4799982e-12,2.3137721e-14
001b3dae-9398-45c3-b271-aae45e7b07df.1.png,4,1.0,9.086261e-09,2.2418131e-08
001b3dae-9398-45c3-b271-aae45e7b07df.15.png,0,1.0,2.732669e-09,7.2228064e-11
001b3dae-9398-45c3-b271-aae45e7b07df.15.png,1,1.0,2.6027767e-12,9.75904e-12
001b3dae-9398-45c3-b271-aae45e7b07df.15.png,2,1.0,6.659805e-10,4.1733086e-11
001b3dae-9398-45c3-b271-aae45e7b07df.15.png,3,1.0,1.6443727e-10,4.222208e-13
001b3dae-9398-45c3-b271-aae45e7b07df.15.png,4,1.0,3.0452423e-08,6.438357e-09
001b3dae-9398-45c3-b271-aae45e7b07df.16.png,0,1.0,1.0118838e-08,7.763268e-09
001b3dae-9398-45c3-b271-aae45e7b07df.16.png,1,1.0,1.5126785e-10,5.792032e-11
001b3dae-9398-45c3-b271-aae45e7b07df.16.png,2,1.0,4.6042206e-08,7.767845e-09
001b3dae-9398-45c3-b271-aae45e7b07df.16.png,3,1.0,3.606729e-10,6.484461e-13
001b3dae-9398-45c3-b271-aae45e7b07df.16.png,4,0.99999976,8.5412914e-08,1.3298354e-07
001b3dae-9398-45c3-b271-aae45e7b07df.17.png,0,1.0,2.7093454e-09,1.06164626e-10
001b3dae-9398-45c3-b271-aae45e7b07df.17.png,1,1.0,3.2570038e-10,5.3544507e-09
001b3dae-9398-45c3-b271-aae45e7b07df.17.png,2,1.0,1.8224413e-09,1.8064103e-10
001b3dae-9398-45c3-b271-aae45e7b07df.17.png,3,1.0,2.8725092e-10,3.7296408e-13
